"w1","w2","loss"
0.7,0.28125,0.00258247647393609
0.705,0.28125,0.00238532637038664
0.71,0.28125,0.00220021464157801
0.715,0.28125,0.00202704152784759
0.72,0.28125,0.00186570747151117
0.725,0.28125,0.00171611312294738
0.73,0.28125,0.00157815934651487
0.735,0.28125,0.00145174722630623
0.74,0.28125,0.00133677807174322
0.745,0.28125,0.00123315342301724
0.75,0.28125,0.0011407750563793
0.755,0.28125,0.00105954498928352
0.76,0.28125,0.000989365485388148
0.765,0.28125,0.000930139059418101
0.77,0.28125,0.000881768481892906
0.775,0.28125,0.00084415678372384
0.78,0.28125,0.000817207260684042
0.785,0.28125,0.000800823477755313
0.79,0.28125,0.00079490927335522
0.795,0.28125,0.000799368763448058
0.8,0.28125,0.00081410634554316
0.805,0.28125,0.000839026702583976
0.81,0.28125,0.000874034806731285
0.815,0.28125,0.000919035923043783
0.82,0.28125,0.000973935613059279
0.825,0.28125,0.0010386397382796
0.83,0.28125,0.00111305446356228
0.835,0.28125,0.00119708626042206
0.84,0.28125,0.00129064191024494
0.845,0.28125,0.00139362850741786
0.85,0.28125,0.00150595346237659
0.855,0.28125,0.00162752450457452
0.86,0.28125,0.0017582496853751
0.865,0.28125,0.00189803738087027
0.87,0.28125,0.00204679629462757
0.875,0.28125,0.00220443546036805
0.88,0.28125,0.00237086424457758
0.885,0.28125,0.00254599234905355
0.89,0.28125,0.00272972981338938
0.895,0.28125,0.00292198701739865
0.9,0.28125,0.0031226746834812
0.7,0.2875,0.00264880552867617
0.705,0.2875,0.00244352778308905
0.71,0.2875,0.00225029603385742
0.715,0.2875,0.00206901154002212
0.72,0.2875,0.00189957575554493
0.725,0.2875,0.00174189033518072
0.73,0.2875,0.00159585714018681
0.735,0.2875,0.00146137824387411
0.74,0.2875,0.0013383559370041
0.745,0.2875,0.00122669273303593
0.75,0.2875,0.00112629137322774
0.755,0.2875,0.00103705483159634
0.76,0.2875,0.000958886319739187
0.765,0.2875,0.000891689291522699
0.77,0.2875,0.000835367447640728
0.775,0.2875,0.000789824740047062
0.78,0.2875,0.000754965376265709
0.785,0.2875,0.000730693823582637
0.79,0.2875,0.000716914813122618
0.795,0.2875,0.000713533343814704
0.8,0.2875,0.000720454686249819
0.805,0.2875,0.000737584386433892
0.81,0.2875,0.000764828269439848
0.815,0.2875,0.000802092442961689
0.82,0.2875,0.000849283300773931
0.825,0.2875,0.000906307526099395
0.83,0.2875,0.000973072094888501
0.835,0.2875,0.00104948427901293
0.84,0.2875,0.00113545164937659
0.845,0.2875,0.00123088207894667
0.85,0.2875,0.00133568374570755
