"iter","time","loss","grad_norm","speed","eta","b","w1","w2","theta1","theta_dot1","theta2","theta_dot2","theta3","theta_dot3","loss_suav","grad_suav","speed_suav","delta_loss","reduccion_relativa","delta_grad","delta_speed","delta_loss_suav","delta_grad_suav","delta_speed_suav","regimen"
39,39,0.000368487205803373,0.00521630247441526,0.000521630247441526,0.1,0.104003388288396,0.809685433472466,0.322509069545903,0.809685433472466,0.000282246282625826,0.322509069545903,0.000428505046957737,0.104003388288396,-9.39072719311861e-05,0.000374041140666922,0.00527738010107164,0.000527738010107164,-2.74471566911105e-06,0.00739353353782362,-3.02806346092286e-05,-3.0280634609229e-06,-2.809694806967e-06,-3.08084160714319e-05,-3.08084160714327e-06,"Refinamiento"
40,40,0.000365774062364497,0.00518626642099399,0.000518626642099399,0.1,0.103909481016465,0.809967679755092,0.322937574592861,0.809967679755092,0.000281496159375727,0.322937574592861,0.000425445700429312,0.103909481016465,-9.3431590686584e-05,0.000371263943652015,0.00524683644777263,0.000524683644777263,-2.71314343887634e-06,0.00736292438050389,-3.00360534212715e-05,-3.00360534212713e-06,-2.77719701490724e-06,-3.0543653299013e-05,-3.05436532990126e-06,"Refinamiento"
41,41,0.000363092057163109,0.00515646758861016,0.000515646758861016,0.1,0.103816049425778,0.810249175914468,0.32336302029329,0.810249175914468,0.000280703191014286,0.32336302029329,0.000422448839612208,0.103816049425778,-9.29208070809074e-05,0.000368518780638156,0.00521654727876203,0.000521654727876203,-2.68200520138755e-06,0.00733240945713231,-2.97988323838295e-05,-2.979883238383e-06,-2.74516301385867e-06,-3.02891690105939e-05,-3.02891690105939e-06,"Refinamiento"
42,42,0.000360440767908699,0.00512689951115008,0.000512689951115007,0.1,0.103723128618697,0.810529879105482,0.323785469132902,0.810529879105482,0.00027987089500275,0.323785469132902,0.000419510204468506,0.103723128618697,-9.23821219255153e-05,0.000365805202942433,0.00518650382083879,0.000518650382083879,-2.65128925441062e-06,0.00730197533877098,-2.95680774600833e-05,-2.95680774600835e-06,-2.71357769572351e-06,-3.00434579232397e-05,-3.00434579232406e-06,"Refinamiento"
43,43,0.000357819782940244,0.00509755644707439,0.000509755644707439,0.1,0.103630746496772,0.810809750000485,0.324204979337371,0.810809750000485,0.00027900249450007,0.324204979337371,0.000416625998172282,0.103630746496772,-9.18215825434606e-05,0.000363122775235985,0.00515669848844877,0.000515669848844877,-2.62098496845489e-06,0.00727161074589427,-2.93430640756816e-05,-2.93430640756816e-06,-2.68242770644806e-06,-2.98053323900191e-05,-2.98053323900187e-06,"Refinamiento"
44,44,0.000355228700343548,0.00506843324886836,0.000506843324886836,0.1,0.103538924914228,0.811088752494985,0.324621605335543,0.811088752494985,0.000278100948731809,0.324621605335543,0.000413792826827127,0.103538924914228,-9.1244258795971e-05,0.000360471074144019,0.0051271246433394,0.00051271246433394,-2.59108259669622e-06,0.00724130613507087,-2.91231982060295e-05,-2.91231982060293e-06,-2.65170109196513e-06,-2.95738451093789e-05,-2.95738451093789e-06,"Refinamiento"
45,45,0.000352667127215756,0.00503952526156779,0.000503952526156779,0.1,0.103447680655432,0.811366853443717,0.32503539816237,0.811366853443717,0.000277168979614242,0.32503539816237,0.000411007647677928,0.103447680655432,-9.06543926660746e-05,0.000357849687114271,0.00509777641145416,0.000509777641145416,-2.56157312779196e-06,0.00721105338083203,-2.8907987300578e-05,-2.89079873005776e-06,-2.62138702974827e-06,-2.93482318852404e-05,-2.93482318852408e-06,"Refinamiento"
46,46,0.000350134679044957,0.00501082824311715,0.000501082824311715,0.1,0.103357026262766,0.811644022423331,0.325446405810048,0.811644022423331,0.000276209095144353,0.325446405810048,0.000408267724580383,0.103357026262766,-9.00555253479752e-05,0.000355258211490641,0.00506864854235555,0.000506864854235555,-2.53244817079862e-06,0.00718084552878801,-2.86970184506345e-05,-2.86970184506347e-06,-2.59147562363046e-06,-2.91278690986016e-05,-2.91278690986007e-06,"Refinamiento"
47,47,0.000347630979180756,0.00498233830121462,0.000498233830121462,0.1,0.103266970737418,0.811920231518475,0.325854673534628,0.811920231518475,0.000275223609993762,0.325854673534628,0.000405570589673707,0.103266970737418,-8.94506052032358e-05,0.000352696253745052,0.00503973630036846,0.000503973630036846,-2.50369986420066e-06,0.00715067660215546,-2.84899419025321e-05,-2.84899419025319e-06,-2.56195774558845e-06,-2.89122419870908e-05,-2.89122419870917e-06,"Refinamiento"
48,48,0.000345155658377563,0.00495405184268943,0.000495405184268943,0.1,0.103177520132215,0.812195455128469,0.326260244124302,0.812195455128469,0.000274214663682344,0.326260244124302,0.000402914010357381,0.103177520132215,-8.88420794435651e-05,0.000350163428832516,0.00501103537949147,0.000501103537949147,-2.47532080319298e-06,0.00712054144859555,-2.82864585251855e-05,-2.82864585251857e-06,-2.53282491253609e-06,-2.87009208769923e-05,-2.87009208769921e-06,"Refinamiento"
