"iter","time","loss","grad_norm","speed","eta","b","w1","w2","theta1","theta_dot1","theta2","theta_dot2","theta3","theta_dot3"
82,82,0.000275608483169513,0.00409703501954874,0.000409703501954874,0.1,0.100473171869912,0.820878098111585,0.338657763160983,0.820878098111585,0.000234616726099745,0.338657763160983,0.000328338482699474,0.100473171869912,-7.07516227865609e-05
83,83,0.000273934517239551,0.00407456490606875,0.000407456490606875,0.1,0.100402420247125,0.821112714837685,0.338986101643683,0.821112714837685,0.000233437884943923,0.338986101643683,0.000326472125707366,0.100402420247125,-7.03100045988623e-05
84,84,0.000272278859032317,0.00405223565443519,0.000405223565443519,0.1,0.100332110242526,0.821346152722629,0.33931257376939,0.821346152722629,0.000232262492678758,0.33931257376939,0.000324619928012817,0.100332110242526,-6.98725612981348e-05
85,85,0.000270641294102359,0.00403004617064884,0.000403004617064884,0.1,0.100262237681228,0.821578415215308,0.339637193697403,0.821578415215308,0.000231090716084866,0.339637193697403,0.000322781658513004,0.100262237681228,-6.94392053712626e-05
86,86,0.000269021610762626,0.00400799537428468,0.000400799537428468,0.1,0.100192798475857,0.821809505931393,0.339959975355916,0.821809505931393,0.000229922710154969,0.339959975355916,0.000320957095030298,0.100192798475857,-6.90098522500972e-05
87,87,0.00026741960004262,0.00398608219800528,0.000398608219800528,0.1,0.100123788623607,0.822039428641548,0.340280932450946,0.822039428641548,0.000228758618786761,0.340280932450946,0.000319146023819224,0.100123788623607,-6.85844202694657e-05
88,88,0.000265835055647551,0.00396430558711349,0.000396430558711349,0.1,0.100055204203337,0.822268187260334,0.340600078474765,0.822268187260334,0.000227598575434636,0.340600078474765,0.000317348239105556,0.100055204203337,-6.81628306111158e-05
89,89,0.000264267773918407,0.00394266449913998,0.000394266449913998,0.1,0.0999870413727263,0.822495785835769,0.340917426713871,0.822495785835769,0.000226442703722878,0.340917426713871,0.000315563542654938,0.0999870413727263,-6.77450072368815e-05
90,90,0.000262717553792892,0.00392115790346274,0.000392115790346275,0.1,0.0999192963654894,0.822722228539492,0.341232990256526,0.822722228539492,0.000225291118022707,0.341232990256526,0.000313791743368879,0.0999192963654894,-6.73308768135548e-05
91,91,0.00026118419676723,0.00389978478095525,0.000389978478095525,0.1,0.0998519654886758,0.822947519657515,0.341546781999895,0.822947519657515,0.000224143923995521,0.341546781999895,0.000312032656905913,0.0998519654886758,-6.69203686318983e-05
92,92,0.000259667506858746,0.00387854412366058,0.000387854412366058,0.1,0.0997850451200439,0.82317166358151,0.341858814656801,0.82317166358151,0.000223001219104389,0.341858814656801,0.00031028610532617,0.0997850451200439,-6.65134145213835e-05
93,93,0.000258167290569221,0.00385743493448894,0.000385743493448894,0.1,0.0997185317055225,0.823394664800614,0.342169100762127,0.823394664800614,0.000221863093095693,0.342169100762127,0.000308551916757638,0.0997185317055225,-6.61099487623144e-05
94,94,0.000256683356848977,0.00383645622693637,0.000383645622693637,0.1,0.0996524217567602,0.82361652789371,0.342477652678884,0.82361652789371,0.000220729628452837,0.342477652678884,0.000306829925082521,0.0996524217567602,-6.57099079965557e-05
95,95,0.000255215517061666,0.00381560702482279,0.000381560702482279,0.1,0.0995867118487637,0.823837257522163,0.342784482603967,0.823837257522163,0.000219600900823646,0.342784482603967,0.000305119969642371,0.0995867118487637,-6.53132311377397e-05
96,96,0.00025376358494974,0.00379488636204735,0.000379488636204735,0.1,0.0995213986176259,0.824056858422987,0.343089602573609,0.824056858422987,0.000218476979423091,0.343089602573609,0.000303421894960639,0.0995213986176259,-6.49198592819368e-05
97,97,0.00025232737660055,0.00377429328235946,0.000377429328235946,0.1,0.099456478758344,0.82427533540241,0.34339302446857,0.82427533540241,0.000217357927412685,0.34339302446857,0.000301735550481555,0.099456478758344,-6.45297356192652e-05
98,98,0.000250906710413099,0.00375382683914433,0.000375382683914433,0.1,0.0993919490227247,0.824492693329822,0.343694760019051,0.824492693329822,0.000216243802258173,0.343694760019051,0.000300060790324123,0.0993919490227247,-6.4142805347086e-05
99,99,0.000249501407065387,0.00373348609522142,0.000373348609522142,0.1,0.0993278062173776,0.824708937132081,0.343994820809376,0.824708937132081,0.000215134656066552,0.343994820809376,0.000298397473050396,0.0993278062173776,-6.37590155851014e-05
100,100,0.000248111289482336,0.00371327012265456,0.000371327012265456,0.1,0.0992640472017925,0.824924071788147,0.344293218282426,0.824924071788147,0.000214030535903757,0.344293218282426,0.000296745461447019,0.0992640472017925,-6.33783152926705e-05
